genome,group
Staph.bead.116,19
Staph.bead.63,19
marc.bacteremia.360.a,19
marc.bacteremia.366.a,19
marc.bacteremia.353.a,19
Staph.beads.381,19
Staph.beads.248,19
Staph.bead.151,19
Staph.bead.4,19
Staph.beads.340,19
Staph.beads.321,19
Sta.aur.bead.1,19
Staph.bead.9,19
Staph.bead.1,19
marc.bacteremia.1950.a,19
marc.bacteremia.1946.a,19
marc.bacteremia.1945.a,19
Staph.beads.573,19
marc.bacteremia.55.a,19
marc.bacteremia.49.a,19
marc.bacteremia.61.a,19
marc.bacteremia.59.a,19
marc.bacteremia.66.a,19
marc.bacteremia.48.a,19
marc.bacteremia.54.a,19
marc.bacteremia.43.a,19
marc.bacteremia.477.a,19
marc.bacteremia.2264,19
marc.bacteremia.2269,19
marc.bacteremia.2271,19
marc.bacteremia.1768.a,19
marc.bacteremia.1789.a,19
marc.bacteremia.1793.a,19
marc.bacteremia.1797.a,19
marc.bacteremia.1832.a,19
marc.bacteremia.1776.a,19
marc.bacteremia.1800.a,19
marc.bacteremia.1781.a,19
marc.bacteremia.1794.a,19
marc.bacteremia.281.a,19
marc.bacteremia.250.a,19
marc.bacteremia.270.a,19
Staph.bead.2,19
Staph.beads.302,19
Staph.beads.305,19
Staph.beads.458,19
Staph.beads.519,19
Staph.beads.284,19
marc.bacteremia.244.a,19
marc.bacteremia.243.a,19
Staph.bead.3,19
marc.bacteremia.246.a,19
Staph.bead.122,19
Staph.beads.424,19
Staph.beads.346,19
Staph.bead.132,19
Staph.bead.123,19
Staph.bead.119,19
marc.bacteremia.257.a,19
Staph.beads.275,19
Staph.bead.234,19
Staph.bead.167,19
Staph.bead.7,19
Staph.beads.334,19
Staph.bead.140,19
Staph.beads.276,19
Staph.bead.168,19
Staph.bead.237,19
Staph.bead.10,19
marc.bacteremia.241.a,19
Staph.bead.8,19
Staph.bead.120,19
Staph.bead.207,19
Staph.bead.52,19
Staph.bead.146,19
marc.bacteremia.1096.a,19
marc.bacteremia.1091.a,19
marc.bacteremia.1092.a,19
Staph.beads.266,19
Staph.beads.382,19
Staph.beads.610,19
Staph.beads.493,19
Staph.beads.355,19
Staph.beads.265,19
Staph.beads.510,19
Staph.beads.399,19
Staph.beads.397,19
marc.bacteremia.1259.a,20
marc.bacteremia.1267.a,20
marc.bacteremia.1268.a,20
marc.bacteremia.2096,20
marc.bacteremia.2073,20
Staph.beads.613,20
Staph.beads.708,20
Staph.beads.687,20
Staph.bead.782a,20
Staph.beads.464,20
Staph.beads.503,20
Staph.beads.944a,20
Sta.aur.bead.68,20
marc.bacteremia.188.a,20
marc.bacteremia.658.a,20
marc.bacteremia.697.a,20
marc.bacteremia.682.a,20
marc.bacteremia.680.a,20
marc.bacteremia.693.a,20
marc.bacteremia.684.a,20
marc.bacteremia.249.a,20
marc.bacteremia.498.a,20
marc.bacteremia.495.a,20
marc.bacteremia.260.a,20
Staph.bead.39,20
Staph.beads.363,20
Staph.beads.364,20
Staph.beads.618,20
Staph.beads.585,20
marc.bacteremia.1834.a,20
marc.bacteremia.1840.a,20
marc.bacteremia.1823.a,20
marc.bacteremia.1821.a,20
marc.bacteremia.1813.a,20
marc.bacteremia.2277,20
marc.bacteremia.2272,20
marc.bacteremia.2282,20
marc.bacteremia.2270,20
marc.bacteremia.2275,20
marc.bacteremia.2283,20
s.208.saca.pink.1,20
s.208.saca.pink.3,20
s.208.saca.pink.2,20
s.208.ori.white,20
